,Name,RA,Dec,r,theta,radius.kpc,x,y,Fe_H,error,v_helio,error2,V_M31,V_sig
1,B291-G009,9.02070833,42.03591667,1.46,302.21,19.9,-1.236,0.7787,-1.2,0.2,-213.5,13.6,91.4,13.9
2,B292-G010,9.06941667,40.97402778,1.25,256.89,17,-1.2196,-0.284,-1.9,0.1,-331,23,-27.5,23.2
3,B293-G011,9.08691667,40.89366667,1.26,253.2,17.2,-1.2079,-0.3646,-1.8,0.1,-345,35,-41.7,35.1
4,B295-G014,9.19470833,40.32836111,1.47,230.65,20,-1.136,-0.9314,-1.7,0.3,-415.3,25.9,-113,26.1
5,B422,9.41020833,41.99977778,1.2,307.91,16.3,-0.9472,0.7376,-1.2,0.3,-202.4,17.6,101.8,17.9
6,B298-G021,9.50091667,40.73216667,1.04,239.37,14.2,-0.897,-0.5311,-1.8,0.3,-546.4,17.3,-244.1,17.6
7,B301-G022,9.58995833,40.06027778,1.47,214.84,20,-0.838,-1.204,-0.9,0.2,-366.6,6.9,-65.4,7.5
8,B167D,9.59366667,41.90972222,1.04,308.49,14.1,-0.8119,0.6456,-1.5,0.2,-196.4,15,107.3,15.3
9,B302-G023,9.63958333,41.34783333,0.79,276.06,10.7,-0.7845,0.0833,-1.5,0.4,-394.4,21.7,-91.5,21.9
10,MCGC7-H14,9.70579167,42.37972222,1.33,327.03,18.1,-0.7232,1.1147,-0.7,0.8,-271,15,33.1,15.3
11,B304-G028,9.73725,41.17455556,0.72,262.74,9.8,-0.7131,-0.0908,-1.3,0.2,-405.3,15.3,-102.8,15.6
12,B306-G029,9.78625,40.57255556,0.97,224.55,13.2,-0.6824,-0.6933,-1.1,0.2,-443.9,8.6,-142.3,9.1
13,B309-G031,9.85258333,40.24141667,1.21,211.79,16.4,-0.6352,-1.025,-1.2,0.2,-404.3,16.2,-103.3,16.5
14,B310-G032,9.85729167,41.39252778,0.63,281.49,8.6,-0.6206,0.1262,-1.4,0.2,-238.1,14,64.5,14.3
15,B181D,9.87854167,41.474,0.64,288.96,8.7,-0.6039,0.2075,-1,0.2,-203.7,8.1,99,8.6
16,B311-G033,9.8905,40.52075,0.96,218.99,13.1,-0.6037,-0.7459,-1.9,0.2,-523.4,20.1,-222.1,20.3
17,B312-G035,9.917375,40.95066667,0.66,241.39,9,-0.5795,-0.3161,-1.2,0.2,-177.5,8.7,124.4,9.2
18,B313-G036,9.93583333,40.882,0.68,235.79,9.3,-0.5661,-0.3849,-1,0.2,-429.5,7.7,-127.7,8.3
19,B001-G039,9.96258333,40.96961111,0.62,241.39,8.5,-0.5452,-0.2974,-0.7,0.2,-203.3,7.7,98.5,8.3
20,B002-G043,10.01070833,41.19819444,0.51,262.24,7,-0.5071,-0.0691,-2.2,0.2,-338.2,14.5,-36.2,14.8
21,B003-G045,10.03916667,41.18488889,0.49,260.35,6.7,-0.4857,-0.0826,-1.6,0.2,-381.4,0.6,-79.4,3.1
22,B004-G050,10.07466667,41.37783333,0.47,283.53,6.4,-0.4577,0.1102,-0.7,0.2,-369.8,6,-67.6,6.7
23,B005-G052,10.08470833,40.73286111,0.7,220.36,9.6,-0.4546,-0.5349,-0.7,0.2,-283.4,0.6,17.9,3.1
24,B006-G058,10.11033333,41.45741667,0.47,293.77,6.4,-0.4304,0.1896,-0.5,0.2,-236,0.4,66.2,3
