"x","y","V_M31","V_sig","Fe_H","r","theta","Fe_H_err"
16.83739296,10.60717673,91.4,13.9,-1.2,19.9,0.562170552,0.2
16.5569187,-3.855962013,-27.5,23.2,-1.9,17,-0.228812665,0.1
16.46589536,-4.971346907,-41.7,35.1,-1.8,17.2,-0.293215314,0.1
15.46574372,-12.68111869,-113,26.1,-1.7,20,-0.686787061,0.3
12.86032282,10.01509346,101.8,17.9,-1.2,16.3,0.661654319,0.3
12.21875033,-7.234786818,-244.1,17.6,-1.8,14.2,-0.53459435,0.3
11.42573398,-16.41501152,-65.4,7.5,-0.9,20,-0.962723615,0.2
11.0363068,8.775530311,107.3,15.3,-1.5,14.1,0.671777229,0.2
10.6402072,1.129597573,-91.5,21.9,-1.5,10.7,0.105766953,0.4
9.850016986,15.18509682,33.1,15.3,-0.7,18.1,0.995361272,0.8
9.721432505,-1.238446626,-102.8,15.6,-1.3,9.8,-0.126710904,0.2
9.26021482,-9.40682845,-142.3,9.1,-1.1,13.2,-0.793252145,0.2
8.639642233,-13.93974828,-103.3,16.5,-1.2,16.4,-1.015956158,0.2
8.427651579,1.713093359,64.5,14.3,-1.4,8.6,0.200538331,0.2
8.227987021,2.826699415,99,8.6,-1,8.7,0.330914426,0.2
8.242320145,-10.18205081,-222.1,20.3,-1.9,13.1,-0.890292452,0.2
7.901094731,-4.309605788,124.4,9.2,-1.2,9,-0.499338699,0.2
7.690936874,-5.228717815,-127.7,8.3,-1,9.3,-0.597077137,0.2
7.462145024,-4.070183244,98.5,8.3,-0.7,8.5,-0.499338699,0.2
6.935896425,-0.945167069,-36.2,14.8,-2.2,7,-0.13543755,0.2
6.605195861,-1.123115151,-79.4,3.1,-1.6,6.7,-0.168424273,0.2
6.222384355,1.497308567,-67.6,6.7,-0.7,6.4,0.236143048,0.2
6.216845656,-7.315109712,17.9,3.1,-0.7,9.6,-0.866381441,0.2
5.857093365,2.579623483,66.2,3,-0.5,6.4,0.414864763,0.2
5.872242171,0.57163965,54.2,3.7,-1.4,5.9,0.097040306,0.3
5.699977775,0.015917382,-21.3,3,-0.8,5.7,0.002792527,0.2
5.686800389,-0.387687157,140.2,3.1,-1.8,5.7,-0.068067841,0.2
5.65406657,1.29287711,-58.7,3.1,-1.7,5.8,0.224798408,0.2
5.395308137,2.128532383,-114.6,3.1,-0.5,5.8,0.375769388,0.2
5.114587421,1.389602647,-86.4,6.2,-0.7,5.3,0.265290046,0.2
4.905398024,11.93092914,-306,27.4,-2.5,12.9,1.180715239,0.6
4.858288543,12.7026388,24.5,14.4,-1.2,13.6,1.205498914,0.2
4.918329278,-0.900020619,-233.9,3,-0.8,5,-0.180990644,0.2
4.834410041,-5.062457857,-171.6,3.3,-0.7,7,-0.808436509,0.4
4.75794532,0.634000265,79.7,3,-0.8,4.8,0.13247049,0.2
4.636868204,5.76710094,-47.4,3,-0.9,7.4,0.893608577,0.2
4.536873337,-9.13546826,25,12.2,-1.1,10.2,-1.109854871,0.2
4.511778044,-2.377784448,-124,3,-0.5,5.1,-0.485026999,0.2
4.492229211,1.957007082,-152.5,11.3,-1.8,4.9,0.410850506,0.2
4.495432517,-18.15161388,72.7,13,-0.5,18.7,-1.328021028,0.2
4.368132304,-0.528602091,-141.7,3.1,-0.7,4.4,-0.120427718,0.2
4.148847724,-5.260899407,-275.3,3.1,-1.4,6.7,-0.903033355,0.2
4.096046189,-9.122631507,-61.5,3,-0.9,10,-1.148775714,0.2
3.915316553,6.74613195,87.3,5.7,-0.6,7.8,1.044928623,0.2
3.931851736,-3.553947372,99.5,3,-1.4,5.3,-0.734958148,0.2
3.849501104,-4.602319116,14.5,3.1,-1.3,6,-0.874235422,0.2
3.761311761,-3.87460112,-98.9,3.1,-2.5,5.4,-0.800233462,0.2
3.687248682,-1.792818217,-257.1,3.1,-2.1,4.1,-0.452563875,0.3
3.593566382,-3.895674609,-17.9,3.1,-0.5,5.3,-0.825715269,0.2
3.486360089,0.308696176,-224.7,7.2,-0.7,3.5,0.08831366,0.2
3.326751603,-3.597599723,-152.5,3.1,-1.6,4.9,-0.824493539,0.3
3.253769426,-5.04112929,-255.5,10.2,-0.6,6,-0.997630201,0.2
3.143315689,14.15519574,-27.2,18,-1.1,14.5,1.352281104,0.3
3.02724221,5.064168698,252.7,3,-0.8,5.9,1.032013187,0.2
3.050310928,2.266186939,-208.6,3,-0.8,3.8,0.638965039,0.2
2.98702859,-0.278675805,-28.9,3.3,-0.8,3,-0.093026049,0.2
2.915513242,0.706952995,122.1,3.1,-1.7,3,0.237888377,0.2
2.807256419,1.057975141,56.6,3,-0.8,3,0.36041049,0.2
2.655123813,-1.959672814,6.6,3.1,-0.9,3.3,-0.635823447,0.2
2.647770056,0.910666642,29.8,3,-0.8,2.8,0.331263492,0.2
2.648584305,-14.45942603,-56.1,14.1,-1.6,14.7,-1.38963115,0.2
2.608198421,4.148168391,-123.5,3,-0.9,4.9,1.009498439,0.2
2.515893339,6.852757161,-49.3,8,-1.1,7.3,1.21893795,0.2
2.529322409,-0.602103108,73.2,3,-0.8,2.6,-0.233699587,0.2
2.492451077,5.894716925,7.1,9.7,-1.6,6.4,1.170766862,0.2
2.452803523,3.652910467,191.5,3,-0.8,4.4,0.979478776,0.2
2.438369904,2.072281885,39.1,3,-0.8,3.2,0.704414886,0.2
2.299069324,0.065423568,-119.7,12.7,-0.9,2.3,0.028448867,0.2
2.212088291,-5.469612911,-124,3.1,-2.1,5.9,-1.186474826,0.3
2.191686085,-6.542668577,80.1,3.1,-1.1,6.9,-1.247561349,0.2
2.108561166,-1.146285222,38.5,3.1,-1,2.4,-0.497942436,0.2
2.024657051,-2.478056461,-235.3,3.1,-1.8,3.2,-0.885754595,0.2
1.885814077,3.066546146,26.3,6.2,-0.7,3.6,1.019446816,0.2
1.85523544,2.967844582,-4.2,3,-0.8,3.5,1.012116433,0.2
1.776614922,-1.119660404,7.6,3,-1.3,2.1,-0.562345085,0.2
1.832403228,-8.1977008,-108.2,3.1,-0.9,8.4,-1.350884841,0.2
1.739834072,8.115600865,61.4,7.1,-1,8.3,1.359611487,0.2
1.761072074,-2.671820568,-33.9,3.1,-1.4,3.2,-0.98803089,0.2
